# author: E. Wes Bethel, Oct 2022
# sample data for use with the plot_3vars.py file
Problem Size,Sum Direct,Sum Vector,Sum Indirect
64,10754.625641,1001.02720764,494.903126844
128,20971.52,1083.7994832,267.408606949
256,21931.0013072,1021.1330493,491.352057402
512,21788.5922078,838.755955506,494.501982168
1024,22258.3296849,817.802388496,494.338064896
2048,21578.4128617,609.194480755,472.697499472
